id_edu_program,id_edu_company,name_edu_program,date_start,date_end,cost,oopc,link,online_status,employment_status,ncs_code
1,15,(2023)빅데이터 분석 & 시각화 UI콘텐츠 개발,20240312,20240812,7272070,0,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20233000917534&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020058080#undefined,오프라인,구직자,20010202
2,28,(기업연계형) AI를 이용한 스마트플랫폼 개발자 양성과정,20240311,20241018,11372400,0,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20230000412607&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020054992#undefined,오프라인,구직자,20010202
3,6,(산대특)_AI플랫폼 활용 이커머스 웹서비스 개발_육성,20240311,20240802,6884800,0,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20233000931929&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020059024#undefined,오프라인,구직자,20010202
4,22,[뉴노멀 DX] 디지털 비즈니스 플랫폼 생존전략 업그레이드!,20240311,20240410,62370,21830,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20243000986418&tracseTme=6&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,온라인,근로자,20020318
5,8,[백엔드] python+Django(장고) 양성 과정,20240311,20240402,794400,357480,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20230000435012&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020038816#undefined,오프라인,재직자,20010202
6,12,[상위 1% 인공지능] 수식으로 구현해보는 딥러닝 알고리즘,20240313,20240411,83600,45980,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20243000974577&tracseTme=44&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,온라인,근로자,20010703
6,22,[상위 1% 인공지능] 수식으로 구현해보는 딥러닝 알고리즘,20240311,20240410,59400,29700,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000963900&tracseTme=76&crseTracseSe=C0031&trainstCstmrId=500020021711#undefined,온라인,근로자,20010703
7,12,[상위1% 빅데이터 ] 기업이 주목하는 Hadoop 제대로 배우기,20240313,20240411,62370,34310,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000943892&tracseTme=177&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,온라인,근로자,20010304
7,12,[상위1% 빅데이터 ] 기업이 주목하는 Hadoop 제대로 배우기,20240316,20240414,62370,34310,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000943892&tracseTme=180&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,온라인,근로자,20010304
8,12,[상위1% 파이썬 웹] Django를 이용한 웹 애플리케이션 작성,20240316,20240414,62370,28070,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=ACG20233000943867&tracseTme=180&crseTracseSe=C0031&trainstCstmrId=500034225481#undefined,온라인,근로자,20010202
